date,value
2026-03-31,602.71
2026-03-30,500.77
2026-03-29,129.08
2026-03-28,126.08
2026-03-27,504.88
2026-03-26,391.27
2026-03-25,217.66
2026-03-24,499.87
2026-03-23,459.32
2026-03-22,137.78
2026-03-21,274.09
2026-03-20,229.08
2026-03-19,168.04
2026-03-18,106.6
2026-03-17,127.4
2026-03-16,271.56
2026-03-15,173.75
2026-03-14,172.27
2026-03-13,153.17
2026-03-12,187.04
2026-03-11,274.1
2026-03-10,173.49
2026-03-09,311.63
2026-03-08,86.41
2026-03-07,140.29
2026-03-06,0
2026-03-05,0
2026-03-04,0
2026-03-03,0
2026-03-02,0
2026-03-01,0
2026-02-28,0
2026-02-27,0
2026-02-26,0
2026-02-25,0
2026-02-24,0
2026-02-23,0
2026-02-22,0
2026-02-21,0
2026-02-20,0
2026-02-19,0
2026-02-18,0
2026-02-17,0
2026-02-16,0
2026-02-15,0
2025-03-14,58.27
2025-03-13,894.81
2025-03-12,857.66
2025-03-11,891.71
2025-03-10,706.18
2025-03-09,170.51
2025-03-08,520.63
2025-03-07,619.02
2025-03-06,596.92
2025-03-05,799.91
2025-03-04,978.17
2025-03-03,678.65
2025-03-02,235.67
2025-03-01,191.18
2025-02-28,485.13
2025-02-27,597.39
2025-02-26,515.68
2025-02-25,147.76
2025-02-24,202.95
2025-02-23,270.92
2025-02-22,388.67
2025-02-21,249
2025-02-20,165.42
2025-02-19,151.13
2025-02-18,145.46
2025-02-17,698.74
2025-02-16,120.76
2025-02-15,783.52
2025-02-14,523.3
2025-02-13,752.84
2025-02-12,501.74
2025-02-11,602.73
2025-02-10,900.18
2025-02-09,137.22
2025-02-08,321.9
2025-02-07,946.02
2025-02-06,525.44
2025-02-05,858.12
2025-02-04,193.78
2025-02-03,716.64
2025-02-02,158.47
2025-02-01,199.87
2025-01-31,851.21
2025-01-30,968.67
2025-01-29,597.84
2025-01-28,694.44
2025-01-27,960.8
2025-01-26,468.15
2025-01-25,611.9
2025-01-24,149.14
2025-01-23,566.73
2025-01-22,433.74
2025-01-21,463.21
2025-01-20,732.73
2025-01-19,104.08
2025-01-18,204.1
2025-01-17,428.73
2025-01-16,854.58
2025-01-15,538.9
2025-01-14,626.32
2025-01-13,611.05
2025-01-12,228.92
2025-01-11,304.02
2025-01-10,719.34
2025-01-09,754.11
2025-01-08,478.19
2025-01-07,688.19
2025-01-06,796.79
2025-01-05,83.7
2025-01-04,245.56
2025-01-03,118.15
2025-01-02,716.75
2025-01-01,108.28
2024-12-31,348.12
2024-12-30,720.92
2024-12-29,226.94
