date,value
2026-03-31,1586.42
2026-03-30,1586.42
2026-03-29,1525.85
2026-03-28,1593.17
2026-03-27,1593.17
2026-03-26,1594.33
2026-03-25,1601.62
2026-03-24,1601.62
2026-03-23,1600.44
2026-03-22,1600.44
2026-03-21,1609.92
2026-03-20,1610.64
2026-03-19,1609.92
2026-03-18,1610.64
2026-03-17,1611.39
2026-03-16,1622.25
2026-03-15,1622.25
2026-03-14,1623.27
2026-03-13,1628.06
2026-03-12,1637.86
2026-03-11,1637.86
2026-03-10,1637.86
2026-03-09,1637.86
2026-03-08,1632.91
2026-03-07,1632.91
2026-03-06,1632.91
2026-03-05,1632.91
2026-03-04,1632.91
2026-03-03,1632.91
2026-03-02,1632.91
2026-03-01,1632.91
2026-02-28,1596.13
2026-02-27,1596.13
2026-02-26,1596.13
2026-02-25,1596.13
2026-02-24,1596.13
2026-02-23,1596.13
2026-02-22,1596.13
2026-02-21,1596.13
2026-02-20,1596.13
2026-02-19,1596.13
2026-02-18,1596.13
2026-02-17,1596.13
2026-02-16,1596.13
2026-02-15,1596.13
2025-03-14,1659.35
2025-03-13,1667.58
2025-03-12,1667.58
2025-03-11,1673.79
2025-03-10,1673.79
2025-03-09,1659.83
2025-03-08,1673.79
2025-03-07,1673.79
2025-03-06,1674.9
2025-03-05,1674.9
2025-03-04,1674.9
2025-03-03,1674.04
2025-03-02,1674.04
2025-03-01,1667.93
2025-02-28,1680.94
2025-02-27,1680.94
2025-02-26,1689.91
2025-02-25,1695.15
2025-02-24,1708.14
2025-02-23,1708.14
2025-02-22,1681.07
2025-02-21,1681.07
2025-02-20,1681.07
2025-02-19,1681.07
2025-02-18,1688.08
2025-02-17,1688.08
2025-02-16,1661.08
2025-02-15,1661.08
2025-02-14,1661.08
2025-02-13,1661.08
2025-02-12,1666.62
2025-02-11,1667.04
2025-02-10,1667.04
2025-02-09,1667.04
2025-02-08,1643.18
2025-02-07,1643.18
2025-02-06,1647.41
2025-02-05,1651.68
2025-02-04,1650.61
2025-02-03,1650.61
2025-02-02,1650.61
2025-02-01,1656.16
2025-01-31,1647.52
2025-01-30,1655.12
2025-01-29,1655.12
2025-01-28,1655.74
2025-01-27,1655.74
2025-01-26,1655.74
2025-01-25,1655.74
2025-01-24,1645.82
2025-01-23,1645.82
2025-01-22,1648.24
2025-01-21,1648.24
2025-01-20,1652.5
2025-01-19,1652.5
2025-01-18,1652.5
2025-01-17,1655.05
2025-01-16,1653.14
2025-01-15,1653.14
2025-01-14,1662.03
2025-01-13,1662.03
2025-01-12,1649.54
2025-01-11,1649.54
2025-01-10,1663.36
2025-01-09,1663.36
2025-01-08,1663.36
2025-01-07,1669.92
2025-01-06,1669.92
2025-01-05,1665.34
2025-01-04,1661.42
2025-01-03,1664.02
2025-01-02,1664.02
2025-01-01,1664.02
2024-12-31,1667.5
2024-12-30,1676.47
2024-12-29,1676.47
2024-12-28,1676.47
2024-12-27,1676.47
2024-12-26,1672.24
2024-12-25,1672.24
2024-12-24,1672.24
2024-12-23,1672.24
2024-12-22,1672.24
2024-12-21,1672.24
2024-12-20,1672.24
2024-12-19,1672.24
2024-12-18,1680.35
2024-12-17,1680.35
2024-12-16,1683.83
2024-12-15,1683.83
2024-12-14,1683.83
