date,value
2026-03-31,12303.68
2026-03-30,9666.04
2026-03-29,3931.17
2026-03-28,3855.22
2026-03-27,9111.11
2026-03-26,7358.1
2026-03-25,6539.32
2026-03-24,8610.98
2026-03-23,10665.26
2026-03-22,4178.87
2026-03-21,8209.43
2026-03-20,6955.7
2026-03-19,5128.86
2026-03-18,3249.14
2026-03-17,3979.87
2026-03-16,8127.37
2026-03-15,5396.9
2026-03-14,5290.55
2026-03-13,4759.42
2026-03-12,5628.69
2026-03-11,8290.72
2026-03-10,5173.93
2026-03-09,9281.77
2026-03-08,2644.46
2026-03-07,4123.75
2026-03-06,0
2026-03-05,0
2026-03-04,0
2026-03-03,0
2026-03-02,0
2026-03-01,0
2026-02-28,0
2026-02-27,0
2026-02-26,0
2026-02-25,0
2026-02-24,0
2026-02-23,0
2026-02-22,0
2026-02-21,0
2026-02-20,0
2026-02-19,0
2026-02-18,0
2026-02-17,0
2026-02-16,0
2026-02-15,0
2025-03-14,1719.54
2025-03-13,12253.71
2025-03-12,7790.86
2025-03-11,11245.35
2025-03-10,8964.77
2025-03-09,5011.33
2025-03-08,6751.09
2025-03-07,8059.28
2025-03-06,6633.96
2025-03-05,8258.27
2025-03-04,6642.26
2025-03-03,8929.59
2025-03-02,6891.27
2025-03-01,5714.73
2025-02-28,4551.14
2025-02-27,3383.14
2025-02-26,6177.79
2025-02-25,4246.09
2025-02-24,5805.55
2025-02-23,7764.95
2025-02-22,10305.09
2025-02-21,7232.5
2025-02-20,4800.73
2025-02-19,4413.68
2025-02-18,4371.89
2025-02-17,7911.86
2025-02-16,3571.91
2025-02-15,13938.48
2025-02-14,4009.59
2025-02-13,7019.29
2025-02-12,5477.32
2025-02-11,7390.42
2025-02-10,10344.56
2025-02-09,3981.83
2025-02-08,9389.55
2025-02-07,8597.54
2025-02-06,6621.37
2025-02-05,8749.21
2025-02-04,5634.96
2025-02-03,8080.28
2025-02-02,4660.5
2025-02-01,5817.58
2025-01-31,8247.92
2025-01-30,8460.4
2025-01-29,6732.05
2025-01-28,9075.4
2025-01-27,10822.69
2025-01-26,5391.5
2025-01-25,7927.26
2025-01-24,4461.34
2025-01-23,6397.06
2025-01-22,5601.71
2025-01-21,5928.95
2025-01-20,7179.84
2025-01-19,3053.47
2025-01-18,6084.13
2025-01-17,4689.51
2025-01-16,7916.17
2025-01-15,6198.05
2025-01-14,6415.51
2025-01-13,7443.18
2025-01-12,6661.39
2025-01-11,8753.83
2025-01-10,6450.66
2025-01-09,7188.48
2025-01-08,6123.22
2025-01-07,11563.34
2025-01-06,7782.77
2025-01-05,2489.33
2025-01-04,7175.75
2025-01-03,3448.17
2025-01-02,11240.08
2025-01-01,3149.04
2024-12-31,9987.77
2024-12-30,13345.43
2024-12-29,6490.54
2024-12-28,7374.08
2024-12-27,6370.8
2024-12-26,1928.3
2024-12-25,3040.45
2024-12-24,6050.57
2024-12-23,9079.06
2024-12-22,4353.9
2024-12-21,11720.01
2024-12-20,6227.42
2024-12-19,6716.78
2024-12-18,8005.14
2024-12-17,5171.75
2024-12-16,6237.8
2024-12-15,3353.86
2024-12-14,11121.59
2024-12-13,6348.48
2024-12-12,9376.69
2024-12-11,7267.17
2024-12-10,6321.04
2024-12-09,6706.27
2024-12-08,4696.86
2024-12-07,4819.24
2024-12-06,5445.21
2024-12-05,8720.03
2024-12-04,6201.79
2024-12-03,5028.96
2024-12-02,7795.98
2024-12-01,5335.57
2024-11-30,6887.64
2024-11-29,6168.16
2024-11-28,10384.12
2024-11-27,7364.93
2024-11-26,9625.4
2024-11-25,8515.32
2024-11-24,2844.58
2024-11-23,9930.31
2024-11-22,7106.5
2024-11-21,6158.4
2024-11-20,5629.3
2024-11-19,8456.9
2024-11-18,7859.57
2024-11-17,2361.88
2024-11-16,10523.98
2024-11-15,7127.43
2024-11-14,6201.52
2024-11-13,6898.12
2024-11-12,5469.21
2024-11-11,6765.53
2024-11-10,2922.88
2024-11-09,6831.43
2024-11-08,6791.11
2024-11-07,8894.68
2024-11-06,14750.71
2024-11-05,8014.57
2024-11-04,12569.52
2024-11-03,4486.92
2024-11-02,6376.8
2024-11-01,8924.87
2024-10-31,8196.77
2024-10-30,4400.24
2024-10-29,11864.99
2024-10-28,8457.01
2024-10-27,4895.62
2024-10-26,14420.78
2024-10-25,12400.59
2024-10-24,8876.91
2024-10-23,10977.28
2024-10-22,9998.68
2024-10-21,8795.2
2024-10-20,8192.77
2024-10-19,8864.62
2024-10-18,10005.57
2024-10-17,6760.87
2024-10-16,11381.11
2024-10-15,9420.31
2024-10-14,9615.01
2024-10-13,3859.19
2024-10-12,10353.35
2024-10-11,6798.94
2024-10-10,9223.06
2024-10-09,14046.61
2024-10-08,10391.14
2024-10-07,11542.47
2024-10-06,9078.74
2024-10-05,15563.61
2024-10-04,12575.2
2024-10-03,3146.34
2024-10-02,8068.82
2024-10-01,8937.6
2024-09-30,12497.27
2024-09-29,7164.27
2024-09-28,16292.54
2024-09-27,12480.13
2024-09-26,11531.38
2024-09-25,8921.7
2024-09-24,13617.88
2024-09-23,11250.91
2024-09-22,8424.73
2024-09-21,14931.48
