date,value
2026-03-31,179.62
2026-03-30,146.62
2026-03-29,70.7
2026-03-28,93.61
2026-03-27,93
2026-03-26,117.49
2026-03-25,91.8
2026-03-24,68.85
2026-03-23,187.72
2026-03-22,227.25
2026-03-21,238.87
2026-03-20,230.62
2026-03-19,78
2026-03-18,152.98
2026-03-17,84.07
2026-03-16,176.91
2026-03-15,431.06
2026-03-14,203.74
2026-03-13,218.03
2026-03-12,51.32
2026-03-11,119.31
2026-03-10,111.19
2026-03-09,108
2026-03-08,67.63
2026-03-07,39
2026-03-06,30
2026-03-05,0
2026-03-04,0
2026-03-03,0
2026-03-02,0
2026-03-01,0
2026-02-28,0
2026-02-27,0
2026-02-26,0
2026-02-25,0
2026-02-24,0
2026-02-23,0
2026-02-22,0
2026-02-21,0
2026-02-20,0
2026-02-19,0
2026-02-18,0
2026-02-17,0
2026-02-16,0
2026-02-15,0
2025-03-14,3
2025-03-13,59.4
2025-03-12,27.45
2025-03-11,15
2025-03-10,55.79
2025-03-09,100.36
2025-03-08,57.01
2025-03-07,46.94
2025-03-06,51
2025-03-05,58.56
2025-03-04,24
2025-03-03,46.38
2025-03-02,56.08
2025-03-01,54.63
2025-02-28,45.22
2025-02-27,34.28
2025-02-26,20.14
2025-02-25,54
2025-02-24,27
2025-02-23,58.56
2025-02-22,45
2025-02-21,178.73
2025-02-20,56.27
2025-02-19,93
2025-02-18,39.24
2025-02-17,27
2025-02-16,40.08
2025-02-15,66.14
2025-02-14,9
2025-02-13,18
2025-02-12,18
2025-02-11,15.4
2025-02-10,39.48
2025-02-09,27
2025-02-08,21
2025-02-07,81
2025-02-06,53.01
2025-02-05,30
2025-02-04,60
2025-02-03,48.16
2025-02-02,36
2025-02-01,6
2025-01-31,24
2025-01-30,36.35
2025-01-29,111
2025-01-28,41.36
2025-01-27,48.8
2025-01-26,69
2025-01-25,30
2025-01-24,44.21
2025-01-23,39
2025-01-22,39.44
2025-01-21,30
2025-01-20,18.33
2025-01-19,36
2025-01-18,24.13
2025-01-17,48
2025-01-16,15.24
2025-01-15,51.81
2025-01-14,15.25
2025-01-13,12.46
2025-01-12,34.89
2025-01-11,21
2025-01-10,42
2025-01-09,18.08
2025-01-08,73.04
2025-01-07,15
2025-01-06,58.37
2025-01-05,24.43
2025-01-04,82.63
2025-01-03,54
2025-01-02,76.43
2025-01-01,63.06
2024-12-31,42.46
2024-12-30,55.58
2024-12-29,63
2024-12-28,84.67
2024-12-27,24.25
2024-12-26,57.62
2024-12-25,63.55
2024-12-24,61.96
2024-12-23,57
2024-12-22,90.47
2024-12-21,30.08
2024-12-20,73.78
2024-12-19,65.19
2024-12-18,51.88
2024-12-17,18
2024-12-16,51.3
2024-12-15,24.38
2024-12-14,33.43
2024-12-13,61.8
2024-12-12,25.26
2024-12-11,58.51
2024-12-10,63
2024-12-09,60.21
2024-12-08,54
2024-12-07,42.34
2024-12-06,72.23
2024-12-05,65.25
2024-12-04,67.47
2024-12-03,52.1
2024-12-02,49.93
2024-12-01,55.29
2024-11-30,27.93
2024-11-29,45.99
2024-11-28,36
2024-11-27,15
2024-11-26,30
2024-11-25,15
2024-11-24,51.39
2024-11-23,21
2024-11-22,24
2024-11-21,18
2024-11-20,18
2024-11-19,33
2024-11-18,69
2024-11-17,18.55
2024-11-16,85.33
2024-11-15,36
2024-11-14,60.13
2024-11-13,48.92
2024-11-12,48
2024-11-11,58.24
2024-11-10,30.03
2024-11-09,27.48
2024-11-08,9
2024-11-07,49.09
2024-11-06,17.1
2024-11-05,55.65
2024-11-04,41.09
2024-11-03,42.41
2024-11-02,67.67
2024-11-01,48.75
2024-10-31,78.62
2024-10-30,53.11
2024-10-29,15
2024-10-28,37.18
2024-10-27,48.9
2024-10-26,33.05
2024-10-25,32.39
2024-10-24,69
2024-10-23,47.19
2024-10-22,10.89
2024-10-21,47.01
2024-10-20,39.47
2024-10-19,26.11
2024-10-18,15.21
2024-10-17,17.29
2024-10-16,23.08
2024-10-15,30
2024-10-14,35.12
2024-10-13,48
2024-10-12,49.71
2024-10-11,27.32
2024-10-10,57.31
2024-10-09,34.01
2024-10-08,72.61
2024-10-07,18.89
2024-10-06,29.16
2024-10-05,12.04
2024-10-04,11.38
2024-10-03,48
2024-10-02,21
2024-10-01,30
2024-09-30,67.04
2024-09-29,48
2024-09-28,45.98
2024-09-27,33
2024-09-26,49.3
2024-09-25,30
2024-09-24,25.07
2024-09-23,48.4
2024-09-22,51.23
2024-09-21,24.14
2024-09-20,18.25
2024-09-19,15.88
2024-09-18,51.71
2024-09-17,18.84
2024-09-16,6
2024-09-15,57
2024-09-14,31.68
2024-09-13,64.6
2024-09-12,51.54
2024-09-11,94.03
2024-09-10,12
2024-09-09,6
2024-09-08,27
2024-09-07,22.63
2024-09-06,18.3
2024-09-05,28.13
2024-09-04,17.13
2024-09-03,57.76
2024-09-02,27.64
2024-09-01,57.37
2024-08-31,0
2024-08-30,0
2024-08-29,21.98
2024-08-28,3
2024-08-27,19.34
2024-08-26,0
2024-08-25,21
2024-08-24,21
2024-08-23,15
2024-08-22,9
2024-08-21,15
2024-08-20,456.44
2024-08-19,119.38
2024-08-18,48.73
2024-08-17,457.98
2024-08-16,14.15
2024-08-15,540.57
2024-08-14,63.92
2024-08-13,45.73
2024-08-12,33
2024-08-11,43.23
2024-08-10,15.42
2024-08-09,103.08
2024-08-08,94.69
2024-08-07,57
2024-08-06,42.62
2024-08-05,24.69
2024-08-04,0
2024-08-03,12
2024-08-02,39
2024-08-01,51.6
2024-07-31,25.12
2024-07-30,36
2024-07-29,45
2024-07-28,21
2024-07-27,38.31
