date,value
2026-03-31,16986
2026-03-30,13385
2026-03-29,5431
2026-03-28,5305
2026-03-27,12565
2026-03-26,10204
2026-03-25,9050
2026-03-24,11929
2026-03-23,14765
2026-03-22,5793
2026-03-21,11390
2026-03-20,9627
2026-03-19,7084
2026-03-18,4509
2026-03-17,5465
2026-03-16,11248
2026-03-15,7419
2026-03-14,7294
2026-03-13,6531
2026-03-12,7744
2026-03-11,11438
2026-03-10,7167
2026-03-09,12851
2026-03-08,3632
2026-03-07,5725
2026-03-06,0
2026-03-05,0
2026-03-04,0
2026-03-03,0
2026-03-02,0
2026-03-01,0
2026-02-28,0
2026-02-27,0
2026-02-26,0
2026-02-25,0
2026-02-24,0
2026-02-23,0
2026-02-22,0
2026-02-21,0
2026-02-20,0
2026-02-19,0
2026-02-18,0
2026-02-17,0
2026-02-16,0
2026-02-15,0
2025-03-14,2374
2025-03-13,16154
2025-03-12,10796
2025-03-11,14706
2025-03-10,11843
2025-03-09,6927
2025-03-08,9347
2025-03-07,11139
2025-03-06,9208
2025-03-05,11447
2025-03-04,9189
2025-03-03,12376
2025-03-02,9483
2025-03-01,7841
2025-02-28,6220
2025-02-27,4686
2025-02-26,8551
2025-02-25,5892
2025-02-24,8057
2025-02-23,10766
2025-02-22,14292
2025-02-21,10003
2025-02-20,6653
2025-02-19,6112
2025-02-18,5984
2025-02-17,10977
2025-02-16,4932
2025-02-15,19326
2025-02-14,5543
2025-02-13,9703
2025-02-12,7578
2025-02-11,10185
2025-02-10,13959
2025-02-09,5516
2025-02-08,13026
2025-02-07,11108
2025-02-06,9134
2025-02-05,12116
2025-02-04,7823
2025-02-03,11084
2025-02-02,6451
2025-02-01,7999
2025-01-31,11081
2025-01-30,10861
2025-01-29,9268
2025-01-28,12539
2025-01-27,14173
2025-01-26,7485
2025-01-25,10651
2025-01-24,6188
2025-01-23,8832
2025-01-22,7722
2025-01-21,8171
2025-01-20,9098
2025-01-19,4191
2025-01-18,8422
2025-01-17,6470
2025-01-16,10918
2025-01-15,8603
2025-01-14,8794
2025-01-13,10298
2025-01-12,9248
2025-01-11,12132
2025-01-10,8914
2025-01-09,9918
2025-01-08,8430
2025-01-07,16045
2025-01-06,10729
2025-01-05,3389
2025-01-04,9923
2025-01-03,4785
2025-01-02,15599
2025-01-01,4364
2024-12-31,13866
2024-12-30,18506
2024-12-29,9005
2024-12-28,10154
2024-12-27,8801
2024-12-26,2668
2024-12-25,4196
2024-12-24,8400
2024-12-23,12602
2024-12-22,6013
2024-12-21,16243
2024-12-20,8586
2024-12-19,9257
2024-12-18,11085
2024-12-17,7159
2024-12-16,8650
2024-12-15,4648
2024-12-14,15324
2024-12-13,8790
2024-12-12,12992
2024-12-11,10089
2024-12-10,8662
2024-12-09,9280
2024-12-08,6455
2024-12-07,6364
2024-12-06,7523
2024-12-05,12106
2024-12-04,8600
2024-12-03,6917
2024-12-02,10725
2024-12-01,7403
2024-11-30,9515
2024-11-29,8517
2024-11-28,14395
2024-11-27,10177
2024-11-26,12933
2024-11-25,11802
2024-11-24,3890
2024-11-23,13782
2024-11-22,9797
2024-11-21,8517
2024-11-20,7781
2024-11-19,11740
2024-11-18,10843
2024-11-17,3279
2024-11-16,14554
2024-11-15,9895
2024-11-14,8575
2024-11-13,9532
2024-11-12,7568
2024-11-11,9368
2024-11-10,4033
2024-11-09,9460
2024-11-08,9398
2024-11-07,12298
2024-11-06,20378
2024-11-05,11122
2024-11-04,17386
2024-11-03,6182
2024-11-02,8827
2024-11-01,12384
2024-10-31,11375
2024-10-30,6097
2024-10-29,16421
2024-10-28,11676
2024-10-27,6791
2024-10-26,20008
2024-10-25,17207
2024-10-24,12276
2024-10-23,15209
2024-10-22,13857
2024-10-21,12179
2024-10-20,11348
2024-10-19,12265
2024-10-18,13877
2024-10-17,9344
2024-10-16,15742
2024-10-15,12991
